"filename", "language", "PostCSS", "HTML", "JavaScript", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\solar_dynamics\website\y\.idea\09_solar_website.iml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\User\Desktop\solar_dynamics\website\y\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\solar_dynamics\website\y\.idea\misc.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\User\Desktop\solar_dynamics\website\y\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\User\Desktop\solar_dynamics\website\y\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\User\Desktop\solar_dynamics\website\y\README.md", "Markdown", 0, 0, 0, 30, 0, 3, 3, 36
"c:\Users\User\Desktop\solar_dynamics\website\y\achievements.css", "PostCSS", 51, 0, 0, 0, 0, 4, 13, 68
"c:\Users\User\Desktop\solar_dynamics\website\y\achievements.html", "HTML", 0, 65, 0, 0, 0, 0, 6, 71
"c:\Users\User\Desktop\solar_dynamics\website\y\all.min.css", "PostCSS", 1, 0, 0, 0, 0, 4, 0, 5
"c:\Users\User\Desktop\solar_dynamics\website\y\career.css", "PostCSS", 87, 0, 0, 0, 0, 2, 17, 106
"c:\Users\User\Desktop\solar_dynamics\website\y\career.html", "HTML", 0, 74, 0, 0, 0, 0, 8, 82
"c:\Users\User\Desktop\solar_dynamics\website\y\cars.css", "PostCSS", 175, 0, 0, 0, 0, 6, 32, 213
"c:\Users\User\Desktop\solar_dynamics\website\y\cars.html", "HTML", 0, 86, 0, 0, 0, 0, 9, 95
"c:\Users\User\Desktop\solar_dynamics\website\y\common.css", "PostCSS", 198, 0, 0, 0, 0, 5, 35, 238
"c:\Users\User\Desktop\solar_dynamics\website\y\common.js", "JavaScript", 0, 0, 24, 0, 0, 3, 3, 30
"c:\Users\User\Desktop\solar_dynamics\website\y\departments.css", "PostCSS", 66, 0, 0, 0, 0, 3, 14, 83
"c:\Users\User\Desktop\solar_dynamics\website\y\departments.html", "HTML", 0, 58, 0, 0, 0, 0, 9, 67
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_achievement.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_column_rght.js", "JavaScript", 0, 0, 61, 0, 0, 0, 4, 65
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_form_link.js", "JavaScript", 0, 0, 51, 0, 0, 0, 2, 53
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_member.js", "JavaScript", 0, 0, 150, 0, 0, 0, 6, 156
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_nav_links.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_navbar.js", "JavaScript", 0, 0, 47, 0, 0, 0, 1, 48
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_parrameter.js", "JavaScript", 0, 0, 74, 0, 0, 2, 1, 77
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_partner.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_podcasts.js", "JavaScript", 0, 0, 33, 0, 0, 0, 2, 35
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_reasons.js", "JavaScript", 0, 0, 39, 0, 0, 0, 2, 41
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_row_partners.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\add_slide.js", "JavaScript", 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\User\Desktop\solar_dynamics\website\y\functions\translate.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\User\Desktop\solar_dynamics\website\y\index.html", "HTML", 0, 263, 0, 0, 0, 0, 11, 274
"c:\Users\User\Desktop\solar_dynamics\website\y\languages\en.js", "JavaScript", 0, 0, 159, 0, 0, 0, 1, 160
"c:\Users\User\Desktop\solar_dynamics\website\y\languages\pl.js", "JavaScript", 0, 0, 160, 0, 0, 0, 1, 161
"c:\Users\User\Desktop\solar_dynamics\website\y\media.css", "PostCSS", 107, 0, 0, 0, 0, 5, 20, 132
"c:\Users\User\Desktop\solar_dynamics\website\y\media.html", "HTML", 0, 108, 0, 0, 0, 1, 7, 116
"c:\Users\User\Desktop\solar_dynamics\website\y\partnership.css", "PostCSS", 116, 0, 0, 0, 0, 4, 28, 148
"c:\Users\User\Desktop\solar_dynamics\website\y\partnership.html", "HTML", 0, 118, 0, 0, 0, 0, 9, 127
"c:\Users\User\Desktop\solar_dynamics\website\y\script.js", "JavaScript", 0, 0, 26, 0, 0, 1, 4, 31
"c:\Users\User\Desktop\solar_dynamics\website\y\style.css", "PostCSS", 191, 0, 0, 0, 0, 3, 43, 237
"c:\Users\User\Desktop\solar_dynamics\website\y\team.css", "PostCSS", 61, 0, 0, 0, 0, 3, 11, 75
"c:\Users\User\Desktop\solar_dynamics\website\y\team.html", "HTML", 0, 76, 0, 0, 0, 0, 9, 85
"Total", "-", 1053, 848, 932, 30, 32, 49, 318, 3262
